"S.No.","Division/Seat No.","Name of Member","Lok Sabha","Session","State","Constituency","Total Sittings","No. of days member signed the register"
"108","169","Shri  Manicka  Tagore                                            ","15","8","Tamil Nadu                                                  ","Virudhunagar","26","25"
"109","171","Shri  Sajjan Singh  Verma                                             ","15","8","Madhya Pradesh                                              ","Dewas","26","25"
"110","172","Shri  Abdul Mannan  Hossain                                           ","15","8","West Bengal                                                 ","Murshidabad","26","18"
"111","173","Shri  S.  Alagiri                                           ","15","8","Tamil Nadu                                                  ","Cuddalore","26","19"
"112","174","Shri  Basori Singh  Masram                                            ","15","8","Madhya Pradesh                                              ","Mandla","26","15"
"113","175","Shri  Kuvarjibhai Mohanbhai  Bavalia                                           ","15","8","Gujarat                                                     ","Rajkot","26","14"
"114","176","Shri   Vitthalbhai  Harnsrajbhai   Radadiya                           ","15","8","Gujarat                                                     ","Porbandar","26","4"
"115","178","Shri  Suresh Kumar  Shetkar                                           ","15","8","Andhra Pradesh                                              ","Zahirabad","26","6"
"116","179","Shri  Mukeshkumar  Bheiravdanji  Gadhvi                              ","15","8","Gujarat                                                     ","Banaskantha","26","23"
"117","180","Shri  Jagdish  Thakor                                            ","15","8","Gujarat                                                     ","Patan","26","17"
"118","181","Shri  Adagooru  Vishwanath                                        ","15","8","Karnataka                                                   ","Mysore","26","16"
"119","182","Shri  R.  Dhruvanarayana                                    ","15","8","Karnataka                                                   ","Chamrajanagar","26","15"
"120","183","Shri  K.  Sudhakaran                                        ","15","8","Kerala                                                      ","Kannur","26","18"
"121","184","Shri  Ajay  Kumar                                             ","15","8","Jharkhand                                                   ","Jamshedpur","26","19"
"122","185","Shri  M. K.  Raghavan                                          ","15","8","Kerala                                                      ","Kozhikode","26","21"
"123","186","Shri  K. P.  Dhanapalan                                        ","15","8","Kerala                                                      ","Chalakudy","26","26"
"124","187","Shri  Dara Singh  Chauhan                                           ","15","8","Uttar Pradesh                                               ","Ghosi","26","26"
"125","188","Shri    Lalu Prasad                                       ","15","8","Bihar                                                       ","Saran","26","22"
"126","189","Shri  Shibu  Soren                                             ","15","8","Jharkhand                                                   ","Dumka","26","7"
"127","190","Shri  T.K.S.  Elangovan                                         ","15","8","Tamil Nadu                                                  ","Chennai North","26","25"
"128","192","Smt.  Supriya  Sule                                              ","15","8","Maharashtra                                                 ","Baramati","26","20"
"129","193","Shri   Udayanraje  Bhonsle                                          ","15","8","Maharashtra                                                 ","Satara","26","21"
"130","194","Shri  Sameer  Bhujbal                                           ","15","8","Maharashtra                                                 ","Nashik","26","22"
"131","195","Shri  D.  Venugopal                                         ","15","8","Tamil Nadu                                                  ","Tiruvannamalai","26","21"
"132","196","Shri  Kalyan  Banerjee                                          ","15","8","West Bengal                                                 ","Sreerampur","26","16"
