Bill No.,Bill Year,Short Title of Bill,Ministry,Member Name,Date of Introduction,Bill Category,Status,URL for Bill As Introduced
93,2012,"The Technology Bank of India Bill, 2012.",SCIENCE AND TECHNOLOGY AND EARTH SCIENCES,Arjun Ram Meghwal Shri,07/12/2012,Financial Bill,Pending,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/2530LS.pdf
94,2012,"The Education Bank of India Bill, 2012.",HUMAN RESOURCE DEVELOPMENT,Arjun Ram Meghwal Shri,07/12/2012,Financial Bill,Pending,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/2528LS.pdf
97,2012,"The Prevention of Bribery in Private Sector Bill, 2012.",CORPORATE AFFAIRS,Feroze Varun Gandhi Shri,08/03/2013,Financial Bill,Pending,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/2557LS.pdf
98,2012,"The Establishment of Schools upto Senior Secondary Level Bill, 2012.",HUMAN RESOURCE DEVELOPMENT,Jai Prakash Agarwal Shri,07/12/2012,Financial Bill,Pending,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/2562LS.pdf
99,2012,"The Fishermen (Welfare) Bill, 2012.",AGRICULTURE,S. S. Ramasubbu Shri,07/12/2012,Financial Bill,Pending,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/2563ls.pdf
100,2012,"The Special Educational Facilities (For Children of Parents Living Below Poverty Line) Bill, 2012.",HUMAN RESOURCE DEVELOPMENT,S. S. Ramasubbu Shri,07/12/2012,Financial Bill,Pending,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/2561LS.pdf
101,2012,"The Payment of Compensation to Persons Attacked by Wild Animals Bill, 2012.",ENVIRONMENT AND FORESTS,M. K. Raghavan Shri,07/12/2012,Financial Bill,Pending,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/2559LS.pdf
107,2012,"The Indian Penal Code (Amendment) Bill, 2012 (Insertion of new section 304AA).",HOME AFFAIRS,Solanki Kiritbhai Premajibhai Dr.,08/03/2013,Ordinary Bill,Pending,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/3133s.pdf
108,2012,"The High Court of Rajasthan (Establishment of a Permanent Bench at Bikaner) Bill, 2012.",LAW AND JUSTICE,Arjun Ram Meghwal Shri,07/12/2012,Ordinary Bill,Pending,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/3007ls.pdf
109,2012,"The Constitution (Amendment) Bill, 2012 (Amendment of article 72).",HOME AFFAIRS,Anant Gangaram Geete Shri,22/02/2013,Ordinary Bill,Pending,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/3104ls.pdf
113,2012,"The Farmers Welfare Bill, 2012.",AGRICULTURE,Madhusudan Yadav Shri,07/12/2012,Financial Bill,Pending,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/3180ls.pdf
114,2012,"The Water (Prevention and Control of Pollution) Amendment Bill, 2012 (Amendment of section 2, etc.).",ENVIRONMENT AND FORESTS,Bhartruhari Mahtab Shri,07/12/2012,Financial Bill,Pending,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/3206ls.pdf
115,2012,"The Scheduled Castes Hamlets (Provision of Basic Facilities) Bill, 2012.",SOCIAL JUSTICE AND EMPOWERMENT,P.L. Punia Shri,07/12/2012,Financial Bill,Pending,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/3232ls.pdf
116,2012,"The Provision of Compensation to Farmers Affected by Natural Calamities Bill, 2012.",AGRICULTURE,Chandrakant Bhaurao Khaire Shri,07/12/2012,Financial Bill,Pending,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/3145LS.pdf
117,2012,"The Victims of Terrorism (Provision of Compensation and Welfare Measures) Bill, 2012.",HOME AFFAIRS,Chandrakant Bhaurao Khaire Shri,07/12/2012,Financial Bill,Pending,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/3132LS.pdf
118,2012,"The Prohibition of Ragging and Unfair Practices in Educational Institutions and Universities Bill, 2012.",HUMAN RESOURCE DEVELOPMENT,Rakesh Singh Shri,07/12/2012,Financial Bill,Pending,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/3215LS.pdf
119,2012,"The Cigarettes and Other Tobacco Products (Prohibition of Advertisement and Regulation of Trade and Commerce, Production, Supply and Distribution) Amendment Bill, 2012 (Amendment of section 3, etc.).",HEALTH AND FAMILY WELFARE,Baijayant Panda Shri,07/12/2012,Ordinary Bill,Pending,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/3214ls.pdf
