Bill No.,Bill Year,Short Title of Bill,Ministry,Member Name,Date of Introduction,Bill Category,Status,URL for Bill As Introduced
36,2011,"The Special Educational Facilities (For Children of Parents Living Below Poverty Line) Bill, 2011.",HUMAN RESOURCE DEVELOPMENT,Arjun Ram Meghwal Shri,19/08/2011,Financial Bill,Pending,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/586LS.pdf
38,2011,"The Constitution (Amendment) Bill, 2011 (Insertion of new article 16A, etc.).",SOCIAL JUSTICE AND EMPOWERMENT,P.L. Punia Shri,19/08/2011,Ordinary Bill,Pending,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/536LS.pdf
43,2011,"The Constitution (Amendment) Bill, 2011 (Amendment of article 72) .",HOME AFFAIRS,Solanki Kiritbhai Premajibhai Dr.,19/08/2011,Ordinary Bill,Pending,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/798LS.pdf
45,2011,"The Commission for Imparting Science, Engineering and Medical Sciences Education in Indian Languages Bill, 2011",HUMAN RESOURCE DEVELOPMENT,Hansraj Gangaram Ahir Shri,19/08/2011,Financial Bill,Pending,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/843ls.pdf
46,2011,"The Cow Protection Authority Bill, 2011",AGRICULTURE,Hansraj Gangaram Ahir Shri,19/08/2011,Financial Bill,Pending,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/842LS.pdf
47,2011,"The Safai Karamcharis Insurance Scheme Bill, 2011.",SOCIAL JUSTICE AND EMPOWERMENT,Arjun Ram Meghwal Shri,02/09/2011,Financial Bill,Pending,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/841LS.pdf
48,2011,"The Mega Projects (Timely Completion) Bill, 2011.",STATISTICS AND PROGRAMME IMPLEMENTATION,P.L. Punia Shri,02/09/2011,Financial Bill,Pending,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/844LS.pdf
49,2011,"The University of Patna Bill, 2011.",HUMAN RESOURCE DEVELOPMENT,Bhola Singh Shri,19/08/2011,Financial Bill,Withdrawn,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/845LS.pdf
50,2011,"The Special Financial Assistance to the State of Gujarat Bill, 2011.",FINANCE,C. R. Patil Shri,02/09/2011,Financial Bill,Pending,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/854LS.pdf
51,2011,"The Land Acquisition (Amendment) Bill, 2011 (Insertion of new section 44C).",RURAL DEVELOPMENT,Rajagopal Lagadapati Shri,09/08/2012,Ordinary Bill,Pending,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/897LS.pdf
52,2011,"The Gutka and Pan Masala (Prohibition) Bill, 2011.",HEALTH AND FAMILY WELFARE,Solanki Kiritbhai Premajibhai Dr.,19/08/2011,Ordinary Bill,Pending,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/995LS.pdf
53,2011,"The Television Programmes (Regulation) Bill, 2011.",INFORMATION AND BROADCASTING,A.T. Nana Patil Shri,19/08/2011,Financial Bill,Pending,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/896LS.pdf
55,2011,"The Government Services (Regulation of Compassionate Appointments) Bill, 2011.","PERSONNEL, PUBLIC GRIEVANCES AND PENSIONS",A.T. Nana Patil Shri,19/08/2011,Financial Bill,Pending,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/1040LS.pdf
58,2011,"The Constitution (Amendment) Bill, 2011 (Insertion of new articles 21B, 21C and 21D).",URBAN DEVELOPMENT,C. R. Patil Shri,02/09/2011,Financial Bill,Pending,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/1341LS.pdf
59,2011,"The Farmers (Protection from Natural Calamities and Other Welfare Measures) Bill, 2011.",AGRICULTURE,Chauhan Mahendrasinh Shri,02/09/2011,Financial Bill,Pending,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/1342LS.pdf
60,2011,"The Displaced Persons Welfare Bill, 2011.",RURAL DEVELOPMENT,S. Semmalai Shri,02/09/2011,Financial Bill,Pending,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/1352LS.pdf
61,2011,"The Maintenance and Welfare of Parents and Senior Citizens (Amendment) Bill, 2011 (Substitution of new Chapter for Chapter IV).",SOCIAL JUSTICE AND EMPOWERMENT,Chauhan Mahendrasinh Shri,02/09/2011,Financial Bill,Pending,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/1349LS.pdf
62,2011,"The Code of Criminal Procedure (Amendment) Bill, 2011 (Amendment of section 126).",HOME AFFAIRS,Manish Tewari Shri,02/09/2011,Ordinary Bill,Removed,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/1350LS.pdf
63,2011,"The Indian Penal Code (Amendment) Bill, 2011 (Insertion of new section 376E).",HOME AFFAIRS,M. K. Raghavan Shri,02/09/2011,Ordinary Bill,Pending,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/1351LS.pdf
64,2011,"The Persons Living in Coastal Zone (Rehabilitation and Welfare) Bill, 2011.",ENVIRONMENT AND FORESTS,Sanjeev Ganesh Naik Dr.,27/04/2012,Financial Bill,Pending,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/1300LS.pdf
65,2011,"The Mahatma Gandhi National Rural Employment Guarantee (Amendment) Bill, 2011 (Amendment of Schedule II).",RURAL DEVELOPMENT,S. Semmalai Shri,02/09/2011,Ordinary Bill,Pending,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/1214LS.pdf
66,2011,"The Eradication of Malnutrition Bill, 2011.",WOMEN AND CHILD DEVELOPMENT,Bhakta Charan Das Shri,02/09/2011,Financial Bill,Pending,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/1119LS.pdf
67,2011,"The Prevention of Cruelty to Animals (Amendment) Bill, 2011 (Omission of section 28).",ENVIRONMENT AND FORESTS,Mohan Jena Shri,02/09/2011,Ordinary Bill,Pending,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/1153LS.pdf
68,2011,"The Protection of Civil Rights (Amendment) Bill, 2011 (Amendment of section 3, etc.).",SOCIAL JUSTICE AND EMPOWERMENT,Mohan Jena Shri,02/09/2011,Ordinary Bill,Pending,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/1264LS.pdf
69,2011,"The Agricultural Workers Welfare Bill, 2011.",LABOUR AND EMPLOYMENT,Wakchaure Bhausaheb Rajaram Shri,02/09/2011,Financial Bill,Pending,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/1215LS.pdf
70,2011,"The Right to Information (Amendment) Bill, 2011 (Amendment of sections 6 to 8).","PERSONNEL, PUBLIC GRIEVANCES AND PENSIONS",Wakchaure Bhausaheb Rajaram Shri,02/09/2011,Ordinary Bill,Withdrawn,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/1263LS.pdf
71,2011,"The Constitution (Scheduled Tribes) Order (Amendment) Bill, 2011 (Amendment of Part II).",TRIBAL AFFAIRS,Bijoya Chakravarty Smt.,27/04/2012,Ordinary Bill,Pending,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/1118LS.pdf
72,2011,"The Persons with Disabilities (Equal Opportunities and Protection of Rights and Full Participation) Amendment Bill, 2011 (Amendment of section 26, etc.).",SOCIAL JUSTICE AND EMPOWERMENT,M. K. Raghavan Shri,02/09/2011,Financial Bill,Pending,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/1472LS.pdf
73,2011,"The Beedi Workers Welfare Bill, 2011.",LABOUR AND EMPLOYMENT,Wakchaure Bhausaheb Rajaram Shri,02/09/2011,Financial Bill,Pending,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/1473LS.pdf
74,2011,"The Constitution (Amendment) Bill, 2011 (Insertion of new Chapter VIA, etc.).","PERSONNEL, PUBLIC GRIEVANCES AND PENSIONS",Rajagopal Lagadapati Shri,09/08/2012,Ordinary Bill,Pending,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/1657LS.pdf
79,2011,"The Writers and Artists’ Social Security Bill, 2011.",CULTURE,Priya Sunil Dutt Smt.,08/03/2013,Financial Bill,Pending,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/2284ls.pdf
80,2011,"The Constitution (Scheduled Tribes) Order (Amendment) Bill, 2011 (Amendment of the Schedule).",TRIBAL AFFAIRS,M. Anandan Shri,27/04/2012,Financial Bill,Pending,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/2201LS.pdf
81,2011,"The Persons with Disabilities (Equal Opportunities, Protection of Rights and Full Participation) Amendment Bill, 2011 (Amendment of section 33).",SOCIAL JUSTICE AND EMPOWERMENT,Priya Sunil Dutt Smt.,08/03/2013,Ordinary Bill,Pending,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/2202LS.pdf
82,2011,"The National Commission for Horticulture Development Bill, 2011.",AGRICULTURE,Jagdambika Pal Shri,27/04/2012,Financial Bill,Pending,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/2288ls.pdf
83,2011,"The Backward Areas Development Board Bill, 2011.",PLANNING,Jagdambika Pal Shri,27/04/2012,Financial Bill,Pending,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/2363ls.pdf
84,2011,"The Pre-Examination Coaching Centres Regulatory Authority Bill, 2011.",HUMAN RESOURCE DEVELOPMENT,Jagdambika Pal Shri,27/04/2012,Financial Bill,Pending,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/2286ls.pdf
85,2011,"The Slums and Jhuggi-Jhopri Areas Clearance Bill, 2011.",HOUSING AND URBAN POVERTY ALLEVIATION,Om Prakash Yadav Shri,27/04/2012,Financial Bill,Pending,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/2283ls.pdf
86,2011,"The Tourism Promotion Corporation of India Bill, 2011.",TOURISM,Nishikant Dubey Shri,09/08/2012,Financial Bill,Pending,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/2285ls.pdf
87,2011,"The National Minimum Pension (Guarantee) Bill, 2011.",LABOUR AND EMPLOYMENT,Nishikant Dubey Shri,09/08/2012,Financial Bill,Pending,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/2287ls.pdf
88,2011,"The Prevention of Influx of Foreign Nationals into the Country Bill, 2011.",HOME AFFAIRS,Bijoya Chakravarty Smt.,27/04/2012,Financial Bill,Pending,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/2362LS.pdf
89,2011,"The Destitute Children (Rehabilitation and Welfare) Bill, 2011.",WOMEN AND CHILD DEVELOPMENT,Priya Sunil Dutt Smt.,08/03/2013,Financial Bill,Pending,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/2373LS.pdf
90,2011,"The Constitution (Amendment) Bill, 2011 (Insertion of new article 24A).","PERSONNEL, PUBLIC GRIEVANCES AND PENSIONS",Satpal Maharaj Shri,27/04/2012,Ordinary Bill,Pending,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/2435LS.pdf
91,2011,"The Ancient Monuments and Archaeological Sites and Remains (Amendment) Bill, 2011 (Amendment of section 20A, etc.).",CULTURE,A.T. Nana Patil Shri,09/08/2012,Financial Bill,Pending,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/2395LS.pdf
92,2011,"The National Assets (Protection) Bill, 2011.",HOME AFFAIRS,A.T. Nana Patil Shri,09/08/2012,Ordinary Bill,Pending,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/2410LS.pdf
93,2011,"The Constitution (Amendment) Bill, 2011 (Insertion of new article 30A).",RURAL DEVELOPMENT,Satpal Maharaj Shri,27/04/2012,Ordinary Bill,Pending,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/2396LS.pdf
94,2011,"The Fishermen (Welfare) Bill, 2011.",AGRICULTURE,Adhir Ranjan Chowdhury Shri,27/04/2012,Financial Bill,Removed,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/2434LS.pdf
95,2011,"The Constitution (Amendment) Bill, 2011 (Amendment of the Eighth Schedule)",HOME AFFAIRS,Ajay Kumar Dr. (Shri),09/08/2012,Ordinary Bill,Pending,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/2456LS.pdf
96,2011,"The Coconut Growers (Welfare) Bill, 2011.",AGRICULTURE,M. K. Raghavan Shri,27/04/2012,Financial Bill,Pending,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/2462LS.pdf
97,2011,"The Indian Penal Code (Amendment) Bill, 2011 (Omission of section 124A).",HOME AFFAIRS,Arjun Ram Meghwal Shri,27/04/2012,Ordinary Bill,Pending,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/2481LS.pdf
98,2011,"The Prohibition of Extravagant Expenditure on Marriages Bill, 2011.",LAW AND JUSTICE,Chauhan Mahendrasinh Shri,27/04/2012,Ordinary Bill,Pending,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/2482LS.pdf
100,2011,"The Constitution (Amendment) Bill, 2011 (Amendment of articles 85 and 174).",PARLIAMENTARY AFFAIRS,Satpal Maharaj Shri,27/04/2012,Ordinary Bill,Pending,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/2518LS.pdf
101,2011,"The Overseas Workers (Management and Welfare) Bill, 2011.",OVERSEAS INDIAN AFFAIRS,P. T. Thomas Shri,27/04/2012,Financial Bill,Pending,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/2601LS.pdf
102,2011,"The Mahatma Gandhi National Rural Employment Guarantee (Amendment) Bill, 2011 (Amendment of section 6, etc.).",RURAL DEVELOPMENT,S. Semmalai Shri,27/04/2012,Financial Bill,Pending,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/2651LS.pdf
103,2011,"The Constitution (Scheduled Tribes) Order (Amendment) Bill, 2011 (Amendment of the Schedule).",TRIBAL AFFAIRS,A.T. Nana Patil Shri,09/08/2012,Financial Bill,Pending,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/2649LS.pdf
104,2011,"The Handloom Weavers (Welfare) Bill, 2011.",TEXTILES,P.L. Punia Shri,27/04/2012,Financial Bill,Pending,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/2653LS.pdf
