Bill No,Year,Short Title of Bill,Ministry,Date of Introduction,Date of Passing in Lok Sabha,Date of Passing in Rajya Sabha,Date of Assent,Act No,Bill Category,Status,URL for Bills as Introduced,URL for Bills as Passed in Both Houses,URL of Errata
143,1990,"The Tea Companies (Acquisition and Transfer of Sick Tea Units) Amendment Bill, 1990",NA,23/08/1990,NA,NA,NA,,Ordinary Bill,NA,NA,NA,NA
144,1990,"The Punjab Appropriation (No. 2) Bill, 1990",NA,09/05/1990,NA,NA,NA,,Money Bill,NA,NA,NA,NA
145,1990,"The Appropriation (No.3) Bill, 1990",NA,09/05/1990,09/05/1990,NA,09/10/1990,22,Money Bill,Passed,NA,NA,NA
151,1990,"The Comptroller and Auditor Generals (Duties, Powers and conitions of Service)) Amendment Bill, 1990",NA,27/08/1990,NA,NA,NA,,Money Bill,NA,NA,NA,NA
152,1990,"The Appropriation (Railways) No. 3 Bill, 1990",RAILWAYS,09/05/1990,09/05/1990,NA,09/10/1990,24,Money Bill,Passed,NA,NA,NA
156,1990,"The Constitution (Seventy-fourth Amendment) Bill, 1990",NA,09/07/1990,NA,NA,NA,,Ordinary Bill,NA,NA,NA,NA
157,1990,"The Constitution (Seventy-fifth Amendment) Bill, 1990",HOME AFFAIRS,10/01/1990,NA,NA,NA,,Ordinary Bill,NA,NA,NA,NA
158,1990,"The Constitution (Seventy-sixth Amendment) Bill, 1990",HOME AFFAIRS,10/04/1990,10/04/1990,NA,10/04/1990,,Ordinary Bill,Passed,NA,NA,NA
181,1990,"The Taxation Laws (Amendment) Bill, 1990",NA,27/12/1990,01/10/1991,NA,15/01/1991,2,Money Bill,Passed,NA,NA,NA
203,1990,test,AGRICULTURE,12/12/2003,NA,NA,NA,,Financial Bill,NA,NA,NA,NA
16,1989,".The Appropriation (Railways) Bill, 1989.",RAILWAYS,17/03/1989,17/03/1989,29/03/1989,30/03/1989,6,Money Bill,Passed,NA,NA,NA
20,1989,"The Income-Tax (Amendment) Bill, 1989.",NA,13/03/1989,29/03/1989,31/03/1989,01/04/1989,11,Money Bill,Passed,NA,NA,NA
21,1989,"The Appropriation (Vote on Account) Bill, 1989.",NA,17/03/1989,17/03/1989,29/03/1989,30/03/1989,4,Money Bill,Passed,NA,NA,NA
22,1989,"The Appropriation (Railways) No. 2 Bill, 1989.",RAILWAYS,17/03/1989,17/03/1989,29/03/1989,30/03/1989,7,Money Bill,Passed,NA,NA,NA
25,1989,"The Appropriation Bill, 1989.",NA,27/03/1989,27/03/1989,29/03/1989,30/03/1989,5,Money Bill,Passed,NA,NA,NA
26,1989,"The Punjab Appropriation (Vote on Account) Bill, 1989.",NA,27/03/1989,27/03/1989,29/03/1989,31/03/1989,9,Money Bill,Passed,NA,NA,NA
27,1989,"The Punjab Appropriation Bill, 1989.",NA,27/03/1989,27/03/1989,29/03/1989,31/03/1989,8,Money Bill,Passed,NA,NA,NA
28,1989,"The Delhi Municipal Law (Amendment) Bill, 1989.",HOME AFFAIRS,27/03/1989,29/03/1989,30/03/1989,31/03/1989,10,Money Bill,Passed,NA,NA,NA
29,1989,"The Representation of the People (Amendment) Bill, 1989.",NA,06/04/1989,11/05/1989,12/05/1989,22/05/1989,21,Ordinary Bill,Passed,NA,NA,NA
30,1989,"The Chandigarh Disturbed Areas (Amendment) Bill, 1989.",HOME AFFAIRS,04/04/1989,10/05/1989,11/05/1989,18/05/1989,15,Ordinary Bill,Passed,NA,NA,NA
36,1989,"The Appropriation (No.2) Bill, 1989",NA,26/04/1989,26/04/1989,05/03/1989,05/06/1989,12,Money Bill,Passed,NA,NA,NA
37,1989,"The Terrorist and Disruptive Activities (Prevention) Amendment Bill, 1989.",HOME AFFAIRS,24/04/1989,10/05/1989,11/05/1989,18/05/1989,16,Financial Bill,Passed,NA,NA,NA
41,1989,"The Union Duties of Excise ( Distribution ) Amendment Bill, 1989",NA,05/02/1989,05/10/1989,05/12/1989,18/05/1989,17,Money Bill,Passed,NA,NA,NA
42,1989,"The Additional Duties of Excise ( Goods of Special Importance)Amendment Bill, 1989",NA,05/02/1989,05/10/1989,05/12/1989,18/05/1989,18,Money Bill,Passed,NA,NA,NA
43,1989,"The General Insurance Business ( Natconalisation ) Amendment Bill, 1989",NA,05/02/1989,18/07/1989,10/11/1989,22/10/1989,38,Ordinary Bill,Passed,NA,NA,NA
44,1989,"The Appropriation ( Railways) No. 3 Bill, 1989",RAILWAYS,05/03/1989,05/03/1989,05/10/1989,16/05/1989,14,Money Bill,Passed,NA,NA,NA
45,1989,"The Constitution (63rd Amendment ) Bill, 1989",HOME AFFAIRS,05/02/1989,08/10/1989,08/10/1989,NA,,Ordinary Bill,Passed,NA,NA,NA
46,1989,"The Appropriation ( No.3) Bill, 1989",NA,10/05/1989,05/10/1989,05/11/1989,18/05/1989,19,Money Bill,Passed,NA,NA,NA
47,1989,"The Small Industries Development Bank of India Bill, 1989",NA,10/05/1989,28/07/1989,08/11/1989,25/10/1989,39,Financial Bill,Passed,NA,NA,NA
48,1989,"The Wealth ( Inheritance ) Duty Bill, 1989",NA,12/05/1989,05/12/1989,NA,NA,,Money Bill,NA,NA,NA,NA
49,1989,"The Delhi Motor Vehicles Taxation ( Amendment) Bill, 1989",NA,15/05/1989,21/07/1989,27/07/1989,08/02/1989,25,Money Bill,Passed,NA,NA,NA
50,1989,"The Constitution ( Sixty Fourth Amendment) Bill, 1989",PRIME MINISTER,15/05/1989,08/10/1989,13/10/1989,NA,,Ordinary Bill,Passed,NA,NA,NA
52,1989,"High Court and Supreme Court Judges (Conditoons of Service)Amendment Bill, 1989",NA,21/07/1989,14/08/1989,18/08/1989,30/08/1989,32,Money Bill,Passed,NA,NA,NA
